country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;olympiad,A,Indonesia-hosted international informatics Olympiad organiser archive,IOI 2022 official task archive — Indonesia,https://ioi2022.id/tasks/,IOI 2022 Practice — Cards (Official English Task PDF),https://ioi2022.id/data/practice/cards-en_ISC.pdf,Informatics Olympiad problem paper,English,"Direct public English contest-task PDF from the official IOI 2022 organiser archive hosted in Indonesia. The archive also exposes two general notices, which are deliberately excluded because they are not problem materials.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;olympiad,A,Indonesia-hosted international informatics Olympiad organiser archive,IOI 2022 official task archive — Indonesia,https://ioi2022.id/tasks/,IOI 2022 Practice — Hoax (Official English Task PDF),https://ioi2022.id/data/practice/hoax-en_ISC.pdf,Informatics Olympiad problem paper,English,"Direct public English contest-task PDF from the official IOI 2022 organiser archive hosted in Indonesia. The archive also exposes two general notices, which are deliberately excluded because they are not problem materials.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;olympiad,A,Indonesia-hosted international informatics Olympiad organiser archive,IOI 2022 official task archive — Indonesia,https://ioi2022.id/tasks/,IOI 2022 Practice — Team (Official English Task PDF),https://ioi2022.id/data/practice/team-en_ISC.pdf,Informatics Olympiad problem paper,English,"Direct public English contest-task PDF from the official IOI 2022 organiser archive hosted in Indonesia. The archive also exposes two general notices, which are deliberately excluded because they are not problem materials.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;olympiad,A,Indonesia-hosted international informatics Olympiad organiser archive,IOI 2022 official task archive — Indonesia,https://ioi2022.id/tasks/,IOI 2022 Practice — Towns (Official English Task PDF),https://ioi2022.id/data/practice/towns-en_ISC.pdf,Informatics Olympiad problem paper,English,"Direct public English contest-task PDF from the official IOI 2022 organiser archive hosted in Indonesia. The archive also exposes two general notices, which are deliberately excluded because they are not problem materials.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;olympiad,A,Indonesia-hosted international informatics Olympiad organiser archive,IOI 2022 official task archive — Indonesia,https://ioi2022.id/tasks/,IOI 2022 Day 1 — Fish (Official English Task PDF),https://ioi2022.id/data/day1/fish-en_ISC.pdf,Informatics Olympiad problem paper,English,"Direct public English contest-task PDF from the official IOI 2022 organiser archive hosted in Indonesia. The archive also exposes two general notices, which are deliberately excluded because they are not problem materials.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;olympiad,A,Indonesia-hosted international informatics Olympiad organiser archive,IOI 2022 official task archive — Indonesia,https://ioi2022.id/tasks/,IOI 2022 Day 1 — Prison (Official English Task PDF),https://ioi2022.id/data/day1/prison-en_ISC.pdf,Informatics Olympiad problem paper,English,"Direct public English contest-task PDF from the official IOI 2022 organiser archive hosted in Indonesia. The archive also exposes two general notices, which are deliberately excluded because they are not problem materials.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;olympiad,A,Indonesia-hosted international informatics Olympiad organiser archive,IOI 2022 official task archive — Indonesia,https://ioi2022.id/tasks/,IOI 2022 Day 1 — Towers (Official English Task PDF),https://ioi2022.id/data/day1/towers-en_ISC.pdf,Informatics Olympiad problem paper,English,"Direct public English contest-task PDF from the official IOI 2022 organiser archive hosted in Indonesia. The archive also exposes two general notices, which are deliberately excluded because they are not problem materials.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;olympiad,A,Indonesia-hosted international informatics Olympiad organiser archive,IOI 2022 official task archive — Indonesia,https://ioi2022.id/tasks/,IOI 2022 Day 2 — Circuit (Official English Task PDF),https://ioi2022.id/data/day2/circuit-en_ISC.pdf,Informatics Olympiad problem paper,English,"Direct public English contest-task PDF from the official IOI 2022 organiser archive hosted in Indonesia. The archive also exposes two general notices, which are deliberately excluded because they are not problem materials.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;olympiad,A,Indonesia-hosted international informatics Olympiad organiser archive,IOI 2022 official task archive — Indonesia,https://ioi2022.id/tasks/,IOI 2022 Day 2 — Insects (Official English Task PDF),https://ioi2022.id/data/day2/insects-en_ISC.pdf,Informatics Olympiad problem paper,English,"Direct public English contest-task PDF from the official IOI 2022 organiser archive hosted in Indonesia. The archive also exposes two general notices, which are deliberately excluded because they are not problem materials.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Indonesia,CS,discrete mathematics;algorithms;programming;logic;problem-solving;contest;olympiad,A,Indonesia-hosted international informatics Olympiad organiser archive,IOI 2022 official task archive — Indonesia,https://ioi2022.id/tasks/,IOI 2022 Day 2 — Islands (Official English Task PDF),https://ioi2022.id/data/day2/islands-en_ISC.pdf,Informatics Olympiad problem paper,English,"Direct public English contest-task PDF from the official IOI 2022 organiser archive hosted in Indonesia. The archive also exposes two general notices, which are deliberately excluded because they are not problem materials.",Free public PDF,HTTP 200 · verified 2026-08-15,Yes
