country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Malaysia,DM,algorithms;competitive programming;discrete mathematics;contest,A,Official competition archive,Malaysian Computing Olympiad annual archive,https://ioimalaysia.org/resource/for-student/practice/,MCO practice — practice — Official archive-published resource URL,https://www.codechef.com/MCO2016,Official contest problem archive,English,Public official contest resource explicitly linked from the official Malaysian Computing Olympiad practice archive page.,Free public web resource,HTTP 200 · verified 2026-08-14,Yes
Malaysia,DM,algorithms;competitive programming;discrete mathematics;contest,A,Official competition archive,Malaysian Computing Olympiad annual archive,https://ioimalaysia.org/resource/for-student/practice/,MCO practice — practice — Official archive-published resource URL,https://www.codechef.com/MCO1604,Official contest problem archive,English,Public official contest resource explicitly linked from the official Malaysian Computing Olympiad practice archive page.,Free public web resource,HTTP 200 · verified 2026-08-14,Yes
Malaysia,DM,algorithms;competitive programming;discrete mathematics;contest,A,Official competition archive,Malaysian Computing Olympiad annual archive,https://ioimalaysia.org/resource/for-student/practice/,MCO practice — practice — Official archive-published resource URL,https://www.codechef.com/MCO1603,Official contest problem archive,English,Public official contest resource explicitly linked from the official Malaysian Computing Olympiad practice archive page.,Free public web resource,HTTP 200 · verified 2026-08-14,Yes
Malaysia,DM,algorithms;competitive programming;discrete mathematics;contest,A,Official competition archive,Malaysian Computing Olympiad annual archive,https://ioimalaysia.org/resource/for-student/practice/,MCO practice — practice — Official archive-published resource URL,https://www.codechef.com/MCO1602,Official contest problem archive,English,Public official contest resource explicitly linked from the official Malaysian Computing Olympiad practice archive page.,Free public web resource,HTTP 200 · verified 2026-08-14,Yes
Malaysia,DM,algorithms;competitive programming;discrete mathematics;contest,A,Official competition archive,Malaysian Computing Olympiad annual archive,https://ioimalaysia.org/resource/for-student/practice/,MCO practice — practice — Official archive-published resource URL,https://www.codechef.com/MCO1601,Official contest problem archive,English,Public official contest resource explicitly linked from the official Malaysian Computing Olympiad practice archive page.,Free public web resource,HTTP 200 · verified 2026-08-14,Yes
Malaysia,DM,algorithms;competitive programming;discrete mathematics;contest,A,Official competition archive,Malaysian Computing Olympiad annual archive,https://ioimalaysia.org/resource/for-student/practice/,MCO practice — practice — Official archive-published resource URL,https://s3-ap-southeast-1.amazonaws.com/files.ioimalaysia.org/MCO+2015+Test+Data.zip,Official contest test data,English,Public official contest resource explicitly linked from the official Malaysian Computing Olympiad practice archive page.,Free public web resource,HTTP 200 · verified 2026-08-14,Yes
Malaysia,DM,algorithms;competitive programming;discrete mathematics;contest,A,Official competition archive,Malaysian Computing Olympiad annual archive,https://ioimalaysia.org/resource/for-student/practice/,MCO practice — practice — Official archive-published resource URL,https://s3-ap-southeast-1.amazonaws.com/files.ioimalaysia.org/MCO+2015+Problems.pdf,Official contest problem paper,English,Public official contest resource explicitly linked from the official Malaysian Computing Olympiad practice archive page.,Free public web resource,HTTP 200 · verified 2026-08-14,Yes
Malaysia,DM,algorithms;competitive programming;discrete mathematics;contest,A,Official competition archive,Malaysian Computing Olympiad annual archive,https://ioimalaysia.org/resource/for-student/practice/,MCO practice — Malaysian Computing Olympiad (MCO) — MCO 2013,https://ioimalaysia.org/assets/files/mco-2013-problem.pdf,Official contest problem paper,English,Public official contest resource explicitly linked from the official Malaysian Computing Olympiad practice archive page.,Free public web resource,HTTP 200 · verified 2026-08-14,Yes
Malaysia,DM,algorithms;competitive programming;discrete mathematics;contest,A,Official competition archive,Malaysian Computing Olympiad annual archive,https://ioimalaysia.org/resource/for-student/practice/,MCO practice — practice — Official archive-published resource URL,https://discuss.codechef.com/questions/93978/mco16506-editorial,Official contest editorial / solution,English,Public official editorial / solution explicitly linked from the official Malaysian Computing Olympiad practice archive page.,Free public web resource,HTTP 200 · verified 2026-08-14,Yes
Malaysia,DM,algorithms;competitive programming;discrete mathematics;contest,A,Official competition archive,Malaysian Computing Olympiad annual archive,https://ioimalaysia.org/resource/for-student/practice/,MCO practice — practice — Official archive-published resource URL,https://discuss.codechef.com/questions/93977/mco16505-editorial,Official contest editorial / solution,English,Public official editorial / solution explicitly linked from the official Malaysian Computing Olympiad practice archive page.,Free public web resource,HTTP 200 · verified 2026-08-14,Yes
Malaysia,DM,algorithms;competitive programming;discrete mathematics;contest,A,Official competition archive,Malaysian Computing Olympiad annual archive,https://ioimalaysia.org/resource/for-student/practice/,MCO practice — practice — Official archive-published resource URL,https://discuss.codechef.com/questions/93976/mco16504-editorial,Official contest editorial / solution,English,Public official editorial / solution explicitly linked from the official Malaysian Computing Olympiad practice archive page.,Free public web resource,HTTP 200 · verified 2026-08-14,Yes
